cert_id,cert_name,cert_type,issuing_body,validity_years,renewal_requires_hours,renewal_requires_exam,is_mandatory,description
RN,Registered Nurse,LICENSE,Thailand Nursing Council,5,50,True,True,Basic nursing license
ICU,ICU Specialty,SPECIALTY,Thai Critical Care Nursing Society,2,40,False,False,Intensive Care Unit certification
CCU,Cardiac Care,SPECIALTY,Thai Heart Association,2,40,False,False,Cardiac Care Unit certification
ACLS,Advanced Cardiac Life Support,SKILL,American Heart Association,2,16,True,False,Emergency cardiac care
BLS,Basic Life Support,SKILL,American Heart Association,2,8,True,True,Basic emergency response
PEDS,Pediatric Nursing,SPECIALTY,Thai Pediatric Nursing Society,3,30,False,False,Pediatric care specialty
OB_NURS,Obstetric Nursing,SPECIALTY,Thai OB-GYN Nursing Society,3,30,False,False,Obstetric and maternity care
POST_OP,Post-Operative Care,SKILL,Hospital Internal,2,20,False,False,Surgical recovery care
IV_CERT,IV Therapy,SKILL,Hospital Internal,2,16,True,False,Intravenous therapy administration
CHEMO,Chemotherapy Administration,SKILL,Thai Oncology Nursing Society,2,24,True,False,Safe chemotherapy handling
