rule_id,rule_name,rule_type,constraint_type,priority,scope,applies_to_ward,applies_to_position,parameters,description,is_active,effective_from,effective_to,created_at,updated_at
R001,Weekly Hours Limit,HOURS,HARD,1,GLOBAL,,,"{""max_hours_week"": 40, ""operator"": ""<=""}",No nurse can work more than 40 hours per week,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R002,No Overtime,HOURS,HARD,1,GLOBAL,,,"{""max_hours_day"": 12, ""operator"": ""<=""}",Maximum 12 hours per day (no double shifts),True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R003,Minimum Rest Between Shifts,REST,HARD,1,GLOBAL,,,"{""min_rest_hours"": 11, ""operator"": "">=""}",Minimum 11 hours rest between shifts,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R004,Max Consecutive Days,CONSECUTIVE,HARD,1,GLOBAL,,,"{""max_consecutive_days"": 5, ""operator"": ""<=""}",Maximum 5 consecutive working days,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R005,Minimum Ward Coverage Day,COVERAGE,HARD,1,WARD,ALL,,"{""use_ward_minimum"": true, ""shift"": ""D""}",Meet minimum staffing for day shift per ward definition,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R006,Minimum Ward Coverage Evening,COVERAGE,HARD,1,WARD,ALL,,"{""use_ward_minimum"": true, ""shift"": ""E""}",Meet minimum staffing for evening shift per ward definition,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R007,Minimum Ward Coverage Night,COVERAGE,HARD,1,WARD,ALL,,"{""use_ward_minimum"": true, ""shift"": ""N""}",Meet minimum staffing for night shift per ward definition,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R008,Certification Required,QUALIFICATION,HARD,1,WARD,ALL,,"{""check_ward_requirements"": true}",Nurses must have required certifications for assigned ward,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R009,No Night After Evening,SEQUENCE,HARD,1,GLOBAL,,,"{""forbidden_sequence"": [""E"", ""N""]}",Cannot work night shift immediately after evening shift,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R010,Certification Practice Hours,CERTIFICATION,SOFT,2,INDIVIDUAL,,,"{""ensure_practice_hours"": true, ""weight"": 100}",Prioritize shifts that count toward certification renewal,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R011,Shift Preference,PREFERENCE,SOFT,3,INDIVIDUAL,,,"{""respect_preferences"": true, ""weight"": 50}",Try to honor nurse shift preferences,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R012,Weekend Fairness,FAIRNESS,SOFT,2,GLOBAL,,,"{""balance_weekend_shifts"": true, ""max_variance"": 2, ""weight"": 80}",Distribute weekend shifts fairly across nurses,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R013,Night Shift Fairness,FAIRNESS,SOFT,2,GLOBAL,,,"{""balance_night_shifts"": true, ""max_variance"": 2, ""weight"": 80}",Distribute night shifts fairly across nurses,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R014,Max Night Shifts Per Week,HOURS,SOFT,2,INDIVIDUAL,,,"{""use_individual_max"": true, ""default_max"": 3, ""weight"": 70}",Respect individual max night shifts preference,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R015,Skill Mix,COVERAGE,SOFT,2,WARD,ALL,,"{""min_senior_per_shift"": 1, ""min_avg_skill_level"": 3, ""weight"": 90}",Each shift should have at least one senior nurse and good skill mix,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R016,Charge Nurse Coverage,COVERAGE,SOFT,2,WARD,ALL,,"{""require_charge_nurse"": true, ""weight"": 95}",Each shift should have a designated charge nurse,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R017,ICU Minimum Ratio,COVERAGE,HARD,1,WARD,W001,,"{""nurse_patient_ratio"": 0.5, ""operator"": "">=""}",ICU requires 1:2 nurse to patient ratio minimum,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
R018,CCU Minimum Ratio,COVERAGE,HARD,1,WARD,W002,,"{""nurse_patient_ratio"": 0.5, ""operator"": "">=""}",CCU requires 1:2 nurse to patient ratio minimum,True,2024-01-01,,2026-01-14 02:44:54.154270,2026-01-14 02:44:54.154606
