forecast_id,ward_id,forecast_date,expected_census,expected_occupancy_pct,expected_avg_acuity,expected_admissions,expected_discharges,confidence_level,forecast_source,created_at,updated_at
39f6b9f7-7218-4662-8696-c2000d7cffcb,W001,2025-01-20,20,100.0,3.61,2,2,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.951679,2026-01-14 02:44:55.951680
eed048c2-8202-4549-beb7-68d01aa65aa2,W002,2025-01-20,12,77.1,5.0,0,5,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.951839,2026-01-14 02:44:55.951840
116177f3-d507-4901-855b-d4346bc823d2,W003,2025-01-20,20,65.0,3.93,1,2,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.951984,2026-01-14 02:44:55.951984
3bb4e8a9-0ed8-49bf-89de-6181d4eadd11,W004,2025-01-20,24,78.0,3.31,4,5,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.952107,2026-01-14 02:44:55.952108
dbabd874-d6ef-4050-8059-f7b40bfc91d2,W005,2025-01-20,22,81.2,4.66,3,1,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.952216,2026-01-14 02:44:55.952217
6e28ad0f-d76f-4eed-b686-3393fb700c13,W006,2025-01-20,20,72.4,4.0,3,0,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.952322,2026-01-14 02:44:55.952323
d32a55f8-b87c-47b0-be69-c5af18aa690e,W007,2025-01-20,22,93.1,2.99,3,2,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.952425,2026-01-14 02:44:55.952425
9a5af114-412b-4492-81d1-5c1fda826f7a,W008,2025-01-20,14,70.8,2.68,1,0,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.952531,2026-01-14 02:44:55.952532
13fc8373-7346-46e2-82f2-5f2bdd10389d,W001,2025-01-21,15,75.9,5.0,5,3,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.952790,2026-01-14 02:44:55.952791
3883f491-6677-4393-8c1f-4f665885eef7,W002,2025-01-21,16,100.0,4.89,4,4,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.952908,2026-01-14 02:44:55.952908
75152cc2-4bfa-40a3-b114-66eb97460b1b,W003,2025-01-21,28,89.0,2.75,0,0,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.953054,2026-01-14 02:44:55.953055
e1215791-2a6c-40f3-851d-dfe093e37893,W004,2025-01-21,25,78.7,2.94,3,2,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.953168,2026-01-14 02:44:55.953169
a4e981e4-3597-411a-879a-2e336c952357,W005,2025-01-21,22,81.5,3.89,5,0,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.953279,2026-01-14 02:44:55.953279
c4d34bc8-80b8-4879-8db2-7cb2b9d00e5e,W006,2025-01-21,21,77.7,4.6,1,2,LOW,HISTORICAL_MODEL,2026-01-14 02:44:55.953380,2026-01-14 02:44:55.953381
e61e0540-6d8f-4b0e-a73b-feef356bddf4,W007,2025-01-21,19,82.5,3.75,1,4,LOW,HISTORICAL_MODEL,2026-01-14 02:44:55.953485,2026-01-14 02:44:55.953486
adbbdb3f-8805-44ce-ac19-b92e448175a3,W008,2025-01-21,16,80.2,2.94,4,4,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.953589,2026-01-14 02:44:55.953590
13528a09-e347-4bc7-86ce-67989f23386f,W001,2025-01-22,13,67.5,4.94,0,4,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.953846,2026-01-14 02:44:55.953847
f138586b-ce19-45ea-b5fa-b48460688004,W002,2025-01-22,14,87.8,4.86,3,1,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.953990,2026-01-14 02:44:55.953991
acaeb002-5cc3-4df1-bdba-93039e79fad8,W003,2025-01-22,22,70.2,4.15,4,3,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.954114,2026-01-14 02:44:55.954115
f5e24bc4-fe57-4877-a1dd-a461922be537,W004,2025-01-22,20,64.5,2.11,3,5,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.954227,2026-01-14 02:44:55.954228
946c67c8-4ba3-4e8b-b3b1-2b4686bd2049,W005,2025-01-22,19,70.6,5.0,5,2,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.954342,2026-01-14 02:44:55.954342
a30c55e8-0c97-4414-bf78-caf9ead8e633,W006,2025-01-22,21,76.9,3.67,4,1,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.954472,2026-01-14 02:44:55.954473
95a0532b-8b26-44b4-a05e-a597bb122a9e,W007,2025-01-22,18,77.2,3.97,5,1,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.954588,2026-01-14 02:44:55.954589
f51411ac-beb4-4834-bd34-4bca8925a0d8,W008,2025-01-22,17,87.8,3.34,1,3,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.954694,2026-01-14 02:44:55.954695
a10bb159-3d41-4120-915f-d3aa91f80329,W001,2025-01-23,17,85.4,5.0,2,3,LOW,HISTORICAL_MODEL,2026-01-14 02:44:55.954958,2026-01-14 02:44:55.954959
6896a4e2-dc2b-49f0-8e25-8aba1b189e06,W002,2025-01-23,15,98.5,5.0,3,0,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.955084,2026-01-14 02:44:55.955085
b8e02c1f-0644-4acd-b6d5-28d16691d736,W003,2025-01-23,23,71.9,3.06,2,0,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.955198,2026-01-14 02:44:55.955198
3e3af03b-ea1f-4cc5-9f9b-045f05bd0e7e,W004,2025-01-23,17,55.5,2.86,1,5,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.955306,2026-01-14 02:44:55.955306
e46d9d15-9750-4caf-bd99-e9649f6fafab,W005,2025-01-23,20,71.8,4.31,0,4,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.955408,2026-01-14 02:44:55.955409
a069c54a-3566-4e56-86e3-aac943142409,W006,2025-01-23,26,93.6,3.82,0,4,MEDIUM,HISTORICAL_MODEL,2026-01-14 02:44:55.955528,2026-01-14 02:44:55.955530
f594aa55-55cd-4ce6-807d-2c87b6cf460c,W007,2025-01-23,17,74.3,2.67,0,2,HIGH,HISTORICAL_MODEL,2026-01-14 02:44:55.955656,2026-01-14 02:44:55.955656
