nurse_cert_id,nurse_id,cert_id,obtained_date,expiry_date,is_expired,practice_hours_ytd,practice_hours_required,hours_remaining,last_renewal_date,renewal_status,verified_by,verification_date,created_at,updated_at
d6c5cb2c-432b-4711-9516-dcd5f452623d,N0001,BLS,2025-01-25,2027-01-25,False,3,8,5,2025-01-25,CURRENT,HR_9,2025-01-27,2026-01-14 02:44:53.941211,2026-01-14 02:44:53.941211
2569119a-7e2d-40ab-9d5a-cd183abb0d2c,N0001,IV_CERT,2024-03-23,2026-03-23,False,11,16,5,2024-03-23,CURRENT,HR_4,2024-04-13,2026-01-14 02:44:53.941569,2026-01-14 02:44:53.941569
5592774e-6278-404f-92b4-edbf09efe235,N0001,CCU,2024-01-15,2026-01-14,True,0,40,40,2024-01-15,EXPIRED,HR_5,2024-01-23,2026-01-14 02:44:53.941885,2026-01-14 02:44:53.941885
654e2d82-634f-4cea-a53c-63ab8005801b,N0001,RN,2025-06-13,2030-06-12,False,13,50,37,2025-06-13,CURRENT,HR_2,2025-07-08,2026-01-14 02:44:53.942202,2026-01-14 02:44:53.942202
1c8a9eda-d17f-4d2c-96a6-08d48a64886b,N0001,ACLS,2024-03-07,2026-03-07,False,16,16,0,2024-03-07,CURRENT,HR_2,2024-03-22,2026-01-14 02:44:53.942502,2026-01-14 02:44:53.942503
19fc41ea-ee82-4f5b-b745-70a2db9edf86,N0002,BLS,2025-11-16,2027-11-16,False,0,8,8,2025-11-16,CURRENT,HR_6,2025-12-12,2026-01-14 02:44:53.943313,2026-01-14 02:44:53.943313
c8398c06-ae96-42de-b10f-9dd578a33d4b,N0002,IV_CERT,2025-10-19,2027-10-19,False,4,16,12,2025-10-19,CURRENT,HR_6,2025-10-31,2026-01-14 02:44:53.943630,2026-01-14 02:44:53.943630
562171e3-a351-49f1-9ea0-4ca2dca4017d,N0002,CCU,2024-09-30,2026-09-30,False,4,40,36,2024-09-30,CURRENT,HR_4,2024-10-17,2026-01-14 02:44:53.943934,2026-01-14 02:44:53.943934
fa1bde1f-580c-4517-8da0-569048ae08e7,N0002,RN,2023-08-25,2028-08-23,False,18,50,32,2023-08-25,CURRENT,HR_3,2023-08-31,2026-01-14 02:44:53.944230,2026-01-14 02:44:53.944230
9a673828-2875-4368-b223-1dd49952195b,N0002,ACLS,2025-06-19,2027-06-19,False,1,16,15,2025-06-19,CURRENT,HR_10,2025-07-17,2026-01-14 02:44:53.944538,2026-01-14 02:44:53.944539
8e8b436b-8e0d-4833-b0a3-4f98d3782cbf,N0003,RN,2025-08-14,2030-08-13,False,15,50,35,2025-08-14,CURRENT,HR_10,2025-08-19,2026-01-14 02:44:53.945269,2026-01-14 02:44:53.945269
bfd0ad1f-55fe-4f90-96c2-b5b5ae34c42d,N0003,BLS,2025-08-19,2027-08-19,False,3,8,5,2025-08-19,CURRENT,HR_5,2025-09-03,2026-01-14 02:44:53.945578,2026-01-14 02:44:53.945578
30342c80-e27a-47c7-96b4-51bd9dec6eb9,N0004,BLS,2024-08-26,2026-08-26,False,2,8,6,2024-08-26,CURRENT,HR_9,2024-09-01,2026-01-14 02:44:53.946305,2026-01-14 02:44:53.946305
7fb020f5-4d47-4a38-bed3-855debdb2c5d,N0004,ICU,2025-10-01,2027-10-01,False,14,40,26,2025-10-01,CURRENT,HR_6,2025-10-20,2026-01-14 02:44:53.946614,2026-01-14 02:44:53.946615
2eab59ef-f776-42d9-b4ae-15b13425cfd5,N0004,IV_CERT,2025-02-12,2027-02-12,False,6,16,10,2025-02-12,CURRENT,HR_5,2025-02-27,2026-01-14 02:44:53.946904,2026-01-14 02:44:53.946905
af984e48-9da2-41fd-9f6a-9c3b175a0e65,N0004,RN,2021-03-20,2026-03-19,False,44,50,6,2021-03-20,CURRENT,HR_4,2021-04-02,2026-01-14 02:44:53.947257,2026-01-14 02:44:53.947258
7437acd2-8c43-4bc9-8111-f1c607f55781,N0004,ACLS,2024-08-08,2026-08-08,False,1,16,15,2024-08-08,CURRENT,HR_4,2024-08-21,2026-01-14 02:44:53.947560,2026-01-14 02:44:53.947561
e7f6bf69-e552-4208-be4b-064aa35a6d62,N0005,BLS,2025-02-16,2027-02-16,False,0,8,8,2025-02-16,CURRENT,HR_7,2025-02-25,2026-01-14 02:44:53.948293,2026-01-14 02:44:53.948293
4f663955-92f6-45f6-b61a-0b4ad3c925a8,N0005,IV_CERT,2025-12-07,2027-12-07,False,0,16,16,2025-12-07,CURRENT,HR_10,2025-12-31,2026-01-14 02:44:53.948590,2026-01-14 02:44:53.948591
f5c0c22c-03c9-4c49-907d-da384a279e6b,N0005,POST_OP,2024-07-25,2026-07-25,False,4,20,16,2024-07-25,CURRENT,HR_4,2024-08-14,2026-01-14 02:44:53.948872,2026-01-14 02:44:53.948872
8c6965c6-40b1-40e6-ae99-12b88d6772fe,N0005,RN,2021-06-17,2026-06-16,False,31,50,19,2021-06-17,CURRENT,HR_4,2021-07-08,2026-01-14 02:44:53.949186,2026-01-14 02:44:53.949187
a6ab8db4-4eb6-4fbf-a11e-b37b397e63cb,N0005,ACLS,2025-06-04,2027-06-04,False,4,16,12,2025-06-04,CURRENT,HR_3,2025-06-25,2026-01-14 02:44:53.949486,2026-01-14 02:44:53.949486
42d70655-b1d5-462b-ba4b-28a8a0edbb7a,N0006,PEDS,2025-09-26,2028-09-25,False,9,30,21,2025-09-26,CURRENT,HR_8,2025-09-28,2026-01-14 02:44:53.950164,2026-01-14 02:44:53.950165
f7e7b678-16b9-48fb-9ee6-5c7e1e15df52,N0006,IV_CERT,2024-05-01,2026-05-01,False,8,16,8,2024-05-01,CURRENT,HR_3,2024-05-04,2026-01-14 02:44:53.950449,2026-01-14 02:44:53.950449
9898bdda-fd0d-4777-b541-8e931ca2bfda,N0006,RN,2024-04-20,2029-04-19,False,10,50,40,2024-04-20,CURRENT,HR_7,2024-04-26,2026-01-14 02:44:53.950723,2026-01-14 02:44:53.950723
e105e066-e64c-4b12-bffc-5e130e46802b,N0006,BLS,2025-05-24,2027-05-24,False,1,8,7,2025-05-24,CURRENT,HR_9,2025-06-22,2026-01-14 02:44:53.951046,2026-01-14 02:44:53.951046
d763a31c-17bb-4ef3-9a0e-0ed24d652c2b,N0007,BLS,2025-03-11,2027-03-11,False,1,8,7,2025-03-11,CURRENT,HR_5,2025-04-10,2026-01-14 02:44:53.951712,2026-01-14 02:44:53.951712
a3331441-f14b-4317-81bf-b1d34e66df6d,N0007,IV_CERT,2024-08-09,2026-08-09,False,4,16,12,2024-08-09,CURRENT,HR_6,2024-09-04,2026-01-14 02:44:53.951987,2026-01-14 02:44:53.951987
d2f71b20-68dd-4be1-99cd-1c0cc46c490e,N0007,POST_OP,2025-08-20,2027-08-20,False,7,20,13,2025-08-20,CURRENT,HR_2,2025-08-25,2026-01-14 02:44:53.952257,2026-01-14 02:44:53.952258
