request_id,nurse_id,request_type,request_date,preferred_shift,swap_with_nurse_id,priority,reason,status,created_at,updated_at
c5a59816-d4a1-42dd-97d9-7e3ed5df0b45,N0001,REQUEST_ON,2025-01-24,D,,LOW,Childcare,APPROVED,2026-01-14 02:44:54.168407,2026-01-14 02:44:54.168408
f94f2c24-a162-400e-ac2a-675245ad7508,N0003,REQUEST_OFF,2025-02-05,,,MEDIUM,Education,PENDING,2026-01-14 02:44:54.168658,2026-01-14 02:44:54.168660
5f1180b5-5688-48c5-9e19-8cc266616320,N0003,SHIFT_PREFERENCE,2025-01-29,D,,MEDIUM,Family event,PENDING,2026-01-14 02:44:54.168744,2026-01-14 02:44:54.168745
a5f46d15-b039-405c-bc49-ce898d08121e,N0003,REQUEST_ON,2025-02-15,D,,LOW,Personal commitment,PENDING,2026-01-14 02:44:54.168817,2026-01-14 02:44:54.168818
bce7d4eb-dae9-418e-9750-dbddc87754f7,N0005,REQUEST_OFF,2025-01-29,,,MEDIUM,Childcare,DENIED,2026-01-14 02:44:54.169045,2026-01-14 02:44:54.169046
1b9e686f-ffd8-4f1e-81d5-f4a7b4b0ac84,N0006,SWAP_REQUEST,2025-02-12,,N0067,MEDIUM,Education,PENDING,2026-01-14 02:44:54.169244,2026-01-14 02:44:54.169245
16a2a1a5-6272-4671-a435-fad2dffeeaac,N0012,SWAP_REQUEST,2025-02-05,,N0044,LOW,Childcare,PENDING,2026-01-14 02:44:54.169674,2026-01-14 02:44:54.169675
206bf4ad-757f-43e2-bb0b-cbb566f5d28b,N0012,REQUEST_ON,2025-02-10,D,,LOW,Personal commitment,PENDING,2026-01-14 02:44:54.169756,2026-01-14 02:44:54.169757
a0b4e3ec-dfa6-4940-93fc-b10f43d7c1ff,N0013,REQUEST_OFF,2025-02-04,,,MEDIUM,Personal commitment,DENIED,2026-01-14 02:44:54.169904,2026-01-14 02:44:54.169905
33ae1034-3753-4bff-85af-7d0a6847f2b1,N0013,REQUEST_ON,2025-02-13,D,,MEDIUM,Medical appointment,PENDING,2026-01-14 02:44:54.169985,2026-01-14 02:44:54.169986
23fa271a-ccdd-480f-a5f1-7d6623793591,N0016,REQUEST_OFF,2025-02-14,,,MEDIUM,Childcare,DENIED,2026-01-14 02:44:54.170401,2026-01-14 02:44:54.170402
a44f9ef4-fcd7-4b62-8466-543beffb3567,N0017,SHIFT_PREFERENCE,2025-01-20,D,,MEDIUM,Medical appointment,APPROVED,2026-01-14 02:44:54.170637,2026-01-14 02:44:54.170638
21ac3b10-40b6-44a9-8c3d-8a68b7c86254,N0018,REQUEST_ON,2025-02-12,D,,MEDIUM,Medical appointment,PENDING,2026-01-14 02:44:54.170811,2026-01-14 02:44:54.170812
f2b10a1d-a39a-4919-8ad7-2477269032b4,N0020,REQUEST_ON,2025-02-12,D,,MEDIUM,Education,APPROVED,2026-01-14 02:44:54.171063,2026-01-14 02:44:54.171064
5eba4247-0e7a-4936-a039-bf1e8089fc12,N0020,SWAP_REQUEST,2025-02-05,,N0022,LOW,Family event,APPROVED,2026-01-14 02:44:54.171152,2026-01-14 02:44:54.171153
2c9864d6-2b90-4ef2-8340-5f1378a6987f,N0021,REQUEST_ON,2025-01-31,N,,LOW,Religious observance,APPROVED,2026-01-14 02:44:54.171315,2026-01-14 02:44:54.171315
c0122600-405e-4f8d-93f8-0b42a1a15602,N0024,REQUEST_OFF,2025-02-14,,,MEDIUM,Family event,PENDING,2026-01-14 02:44:54.171608,2026-01-14 02:44:54.171610
3b7a9865-7631-4277-bfc6-a1552f8db0b4,N0025,REQUEST_OFF,2025-02-01,,,MEDIUM,Religious observance,PENDING,2026-01-14 02:44:54.171758,2026-01-14 02:44:54.171758
57a40658-eb1a-4fab-b1bd-3369b32f337d,N0026,REQUEST_OFF,2025-01-28,,,HIGH,,PENDING,2026-01-14 02:44:54.171900,2026-01-14 02:44:54.171901
92b3b37d-7373-4240-b576-a0b6d82672ef,N0027,REQUEST_OFF,2025-02-06,,,LOW,Education,APPROVED,2026-01-14 02:44:54.172060,2026-01-14 02:44:54.172061
f09ab2fe-6f44-46e1-a6b8-5df0c371c845,N0027,REQUEST_OFF,2025-01-21,,,LOW,Education,PENDING,2026-01-14 02:44:54.172135,2026-01-14 02:44:54.172136
d470a31e-f81b-4251-8d8e-6082c2abdfc0,N0027,REQUEST_OFF,2025-01-21,,,MEDIUM,Religious observance,PENDING,2026-01-14 02:44:54.172200,2026-01-14 02:44:54.172200
619a83f1-1c32-4e56-9192-0445f2273a59,N0028,REQUEST_ON,2025-01-23,N,,LOW,,PENDING,2026-01-14 02:44:54.172342,2026-01-14 02:44:54.172343
11dd9219-dbce-4b2c-8d86-56ebd88c2645,N0028,REQUEST_ON,2025-01-20,D,,LOW,Religious observance,APPROVED,2026-01-14 02:44:54.172418,2026-01-14 02:44:54.172419
8180c6eb-ec50-481f-b087-c8363c9507f2,N0029,REQUEST_ON,2025-01-23,E,,LOW,Childcare,PENDING,2026-01-14 02:44:54.172692,2026-01-14 02:44:54.172698
5f4e0f2c-4a7a-4549-a7dd-d11a822d74af,N0030,REQUEST_ON,2025-02-01,D,,MEDIUM,Education,DENIED,2026-01-14 02:44:54.172905,2026-01-14 02:44:54.172906
7ee96cdd-cf48-46ce-8fb8-8f8010357043,N0030,REQUEST_OFF,2025-01-28,,,HIGH,Childcare,PENDING,2026-01-14 02:44:54.173001,2026-01-14 02:44:54.173001
