unavail_id,nurse_id,unavail_type,start_date,end_date,start_time,end_time,is_recurring,recurrence_pattern,status,approved_by,reason,created_at,updated_at
04d468cf-c614-45e5-b697-8508dad44b65,N0001,SICK_LEAVE,2025-02-08,2025-02-09,,,False,,APPROVED,HN_4,Sick Leave request,2026-01-14 02:44:54.155665,2026-01-14 02:44:54.155667
3bb7a63f-f6e4-4df6-86c1-527c636d0a5b,N0001,SICK_LEAVE,2025-02-13,2025-02-14,,,False,,APPROVED,HN_4,Sick Leave request,2026-01-14 02:44:54.155764,2026-01-14 02:44:54.155764
0a539019-d3c9-4424-a6ea-06f95a011012,N0005,ANNUAL_LEAVE,2025-02-03,2025-02-07,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.156132,2026-01-14 02:44:54.156133
cd8e49b5-ad73-4fec-bccd-1026eb3daa4d,N0006,SICK_LEAVE,2025-01-22,2025-01-25,,,False,,APPROVED,HN_4,Sick Leave request,2026-01-14 02:44:54.156299,2026-01-14 02:44:54.156299
7b41c73d-b567-4130-bdda-d61781c2a6c9,N0006,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_1,Regular family commitment,2026-01-14 02:44:54.156343,2026-01-14 02:44:54.156344
a81a35d3-6825-4502-8483-0722af2a8b40,N0008,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_4,Regular family commitment,2026-01-14 02:44:54.156487,2026-01-14 02:44:54.156488
61facb2c-bde9-4eb9-be64-516fd4a00b49,N0010,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_3,Regular family commitment,2026-01-14 02:44:54.156600,2026-01-14 02:44:54.156600
34e326d0-737b-4ae7-bda6-7d0ee8cedb8b,N0011,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_1,Regular family commitment,2026-01-14 02:44:54.156674,2026-01-14 02:44:54.156675
ba9308aa-789c-4838-90d8-f80b0f984aff,N0013,ANNUAL_LEAVE,2025-02-04,2025-02-11,,,False,,APPROVED,HN_1,Annual Leave request,2026-01-14 02:44:54.156845,2026-01-14 02:44:54.156846
208ad003-69a8-4313-89c4-b68f689ff2d5,N0014,ANNUAL_LEAVE,2025-01-22,2025-01-23,,,False,,APPROVED,HN_2,Annual Leave request,2026-01-14 02:44:54.156997,2026-01-14 02:44:54.156998
94221500-632d-4c8d-9c8a-9fbadd2ac247,N0015,MATERNITY,2025-02-10,2025-02-17,,,False,,PENDING,,Maternity request,2026-01-14 02:44:54.157129,2026-01-14 02:44:54.157130
b93bb0a3-d9aa-474b-96a8-21076a00fbd9,N0018,ANNUAL_LEAVE,2025-01-31,2025-02-01,,,False,,PENDING,HN_2,Annual Leave request,2026-01-14 02:44:54.157367,2026-01-14 02:44:54.157368
993ed5f5-1eaa-4ca4-bd95-19dc3a9fa8d3,N0019,SICK_LEAVE,2025-02-06,2025-02-09,,,False,,APPROVED,HN_2,Sick Leave request,2026-01-14 02:44:54.157499,2026-01-14 02:44:54.157500
2693f8ec-1742-4c16-b079-f52c70dad4c7,N0019,ANNUAL_LEAVE,2025-02-13,2025-02-14,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.157567,2026-01-14 02:44:54.157568
bbe3e897-39c4-4726-a819-659dca465c69,N0020,ANNUAL_LEAVE,2025-01-25,2025-01-31,,,False,,APPROVED,HN_2,Annual Leave request,2026-01-14 02:44:54.157684,2026-01-14 02:44:54.157685
96278f39-5147-4ec7-a2f6-bb116db0aebc,N0023,SICK_LEAVE,2025-01-22,2025-01-24,,,False,,APPROVED,HN_3,Sick Leave request,2026-01-14 02:44:54.157887,2026-01-14 02:44:54.157887
7020dc95-1f20-474c-970d-08fd481e95fc,N0023,PERSONAL,2025-02-14,2025-02-16,,,False,,APPROVED,HN_4,Personal request,2026-01-14 02:44:54.157981,2026-01-14 02:44:54.157982
44f4093d-068c-4e03-9c28-da42fdb5e231,N0025,ANNUAL_LEAVE,2025-02-09,2025-02-16,,,False,,PENDING,,Annual Leave request,2026-01-14 02:44:54.158160,2026-01-14 02:44:54.158161
903abc9f-66d4-4976-b6e3-e360d5f53674,N0025,MATERNITY,2025-02-13,2025-02-17,,,False,,PENDING,HN_2,Maternity request,2026-01-14 02:44:54.158224,2026-01-14 02:44:54.158225
