nurse_id,shift_date,shift_id,ward_id
N0042,2025-01-20,D,W001
N0043,2025-01-20,E,W001
N0068,2025-01-20,E,W001
N0074,2025-01-20,E,W001
N0079,2025-01-20,E,W001
N0093,2025-01-20,E,W001
N0101,2025-01-20,E,W001
N0004,2025-01-20,N,W001
N0019,2025-01-20,N,W001
N0035,2025-01-20,N,W001
N0048,2025-01-20,N,W001
N0118,2025-01-20,N,W001
N0019,2025-01-21,D,W001
N0031,2025-01-21,D,W001
N0033,2025-01-21,D,W001
N0039,2025-01-21,D,W001
N0048,2025-01-21,D,W001
N0075,2025-01-21,D,W001
N0077,2025-01-21,D,W001
N0101,2025-01-21,D,W001
N0035,2025-01-21,E,W001
N0042,2025-01-21,N,W001
N0043,2025-01-21,N,W001
N0068,2025-01-21,N,W001
N0079,2025-01-21,N,W001
N0118,2025-01-21,N,W001
N0031,2025-01-22,D,W001
N0039,2025-01-22,D,W001
N0043,2025-01-22,D,W001
N0048,2025-01-22,D,W001
N0075,2025-01-22,D,W001
N0118,2025-01-22,D,W001
N0077,2025-01-22,E,W001
N0004,2025-01-22,N,W001
N0033,2025-01-22,N,W001
N0035,2025-01-22,N,W001
N0042,2025-01-22,N,W001
N0101,2025-01-22,N,W001
N0019,2025-01-23,D,W001
N0035,2025-01-23,D,W001
N0039,2025-01-23,D,W001
N0048,2025-01-23,D,W001
N0101,2025-01-23,D,W001
N0004,2025-01-23,E,W001
N0033,2025-01-23,E,W001
N0074,2025-01-23,E,W001
N0077,2025-01-23,E,W001
N0079,2025-01-23,E,W001
N0118,2025-01-23,E,W001
N0043,2025-01-23,N,W001
N0068,2025-01-23,N,W001
N0075,2025-01-23,N,W001
N0043,2025-01-24,D,W001
N0077,2025-01-24,D,W001
N0019,2025-01-24,E,W001
N0035,2025-01-24,E,W001
N0048,2025-01-24,E,W001
N0068,2025-01-24,E,W001
N0079,2025-01-24,E,W001
N0004,2025-01-24,N,W001
N0033,2025-01-24,N,W001
N0042,2025-01-24,N,W001
N0075,2025-01-24,N,W001
N0101,2025-01-24,N,W001
N0004,2025-01-25,D,W001
N0031,2025-01-25,D,W001
N0033,2025-01-25,D,W001
N0039,2025-01-25,D,W001
N0068,2025-01-25,D,W001
N0079,2025-01-25,D,W001
N0101,2025-01-25,D,W001
N0118,2025-01-25,D,W001
N0077,2025-01-25,E,W001
N0019,2025-01-25,N,W001
N0035,2025-01-25,N,W001
N0042,2025-01-25,N,W001
N0043,2025-01-25,N,W001
N0075,2025-01-25,N,W001
N0004,2025-01-26,D,W001
N0042,2025-01-26,D,W001
N0048,2025-01-26,D,W001
N0077,2025-01-26,D,W001
N0079,2025-01-26,D,W001
N0118,2025-01-26,D,W001
N0039,2025-01-26,E,W001
N0019,2025-01-26,N,W001
N0033,2025-01-26,N,W001
N0068,2025-01-26,N,W001
N0074,2025-01-26,N,W001
N0075,2025-01-26,N,W001
